trade_id,datetime_utc,symbol,bitget_symbol,company,direction,entry_price,exit_price,quantity,collateral_usd,trade_volume_usd,fee_usd,gross_pnl_usd,net_pnl_usd,net_return_pct,balance_before,balance_after,z_score,hit_stop_loss,status
PT-rCOIN-0057,2026-08-24 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,186.71,181.04,13.3897,2500.0,2499.99,3.0,75.92,72.92,2.92,49502.93,49575.85,1.89,False,WIN
PT-rMSTR-0077,2026-08-24 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,127.59,122.16,19.594,2500.0,2500.0,3.0,106.4,103.4,4.14,49575.85,49679.25,2.4,False,WIN
PT-rNVDA-0016,2026-08-25 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,LONG,210.84,226.16,11.8573,2500.0,2499.99,3.0,181.65,178.65,7.15,49679.25,49857.9,-2.05,False,WIN
PT-rMSTR-0078,2026-08-25 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,122.16,137.85,20.465,2500.0,2500.0,3.0,-87.5,-90.5,-3.62,49857.9,49767.4,1.54,True,LOSS
PT-rCOIN-0058,2026-08-26 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,192.92,180.2,12.9587,2500.0,2499.99,3.0,164.83,161.83,6.47,49767.4,49929.23,1.91,False,WIN
PT-rMSTR-0079,2026-08-26 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,137.85,128.24,18.1357,2500.0,2500.01,3.0,-87.5,-90.5,-3.62,49929.23,49838.73,2.71,True,LOSS
PT-rMSTR-0080,2026-08-27 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,128.24,128.02,19.4947,2500.0,2500.0,3.0,4.29,1.29,0.05,49838.73,49840.02,1.5,False,WIN
PT-rAAPL-0103,2026-08-27 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,321.53,320.54,7.7753,2500.0,2499.99,3.0,7.7,4.7,0.19,49840.02,49844.72,2.81,False,WIN
PT-rAAPL-0104,2026-08-28 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,320.54,321.33,7.7993,2500.0,2499.99,3.0,-6.16,-9.16,-0.37,49844.72,49835.56,2.11,False,LOSS
PT-rAAPL-0105,2026-08-29 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,321.33,315.08,7.7802,2500.0,2500.01,3.0,48.63,45.63,1.83,49835.56,49881.19,2.01,False,WIN
PT-rTSLA-0044,2026-08-30 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,365.65,359.19,6.8371,2500.0,2499.99,3.0,44.17,41.17,1.65,49881.19,49922.36,1.91,False,WIN
PT-rAAPL-0106,2026-08-31 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,326.55,325.35,7.6558,2500.0,2500.0,3.0,9.19,6.19,0.25,49922.36,49928.55,2.57,False,WIN
PT-rNVDA-0017,2026-09-01 16:00:00,rNVDA,NVDAUSDT,NVIDIA Corporation,SHORT,227.63,227.52,10.9827,2500.0,2499.99,3.0,1.21,-1.79,-0.07,49928.55,49926.76,1.6,False,LOSS
PT-rAAPL-0107,2026-09-01 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,325.35,329.96,7.684,2500.0,2499.99,3.0,-35.42,-38.42,-1.54,49926.76,49888.34,2.01,False,LOSS
PT-rTSLA-0045,2026-09-02 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,382.73,352.16,6.532,2500.0,2499.99,3.0,199.68,196.68,7.87,49888.34,50085.02,3.93,False,WIN
